block 200, total 8000, active 3747, size 48, leak 179856.
block 200, total 5800, active 1419, size 48, leak 68112.
block 32, total 21536, active 21535, size 340, leak 7321900.
block 1000, total 27000, active 11120, size 12, leak 133440.
block 200, total 3800, active 2295, size 48, leak 110160.
block 200, total 3000, active 1441, size 48, leak 69168.
block 32, total 21536, active 21506, size 340, leak 7312040.
block 1000, total 27000, active 11140, size 12, leak 133680.
block 200, total 3200, active 1465, size 48, leak 70320.
block 32, total 21504, active 21493, size 340, leak 7307620.
block 1000, total 27000, active 11901, size 12, leak 142812.
block 200, total 3400, active 2154, size 48, leak 103392.
block 32, total 21536, active 21525, size 340, leak 7318500.
block 1000, total 27000, active 11139, size 12, leak 133668.
block 200, total 5200, active 4298, size 48, leak 206304.
block 200, total 2600, active 1479, size 48, leak 70992.
block 32, total 21504, active 21493, size 340, leak 7307620.
block 1000, total 26000, active 10978, size 12, leak 131736.
block 200, total 5200, active 3638, size 48, leak 174624.
block 32, total 21504, active 21475, size 340, leak 7301500.
block 1000, total 26000, active 10996, size 12, leak 131952.
block 200, total 3200, active 1617, size 48, leak 77616.
block 32, total 21504, active 21475, size 340, leak 7301500.
block 1000, total 27000, active 11970, size 12, leak 143640.
block 200, total 3800, active 2314, size 48, leak 111072.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 27000, active 11434, size 12, leak 137208.
block 200, total 5400, active 3650, size 48, leak 175200.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 27000, active 11135, size 12, leak 133620.
block 200, total 3400, active 1680, size 48, leak 80640.
block 32, total 21536, active 21508, size 340, leak 7312720.
block 1000, total 29000, active 13230, size 12, leak 158760.
block 200, total 6200, active 3886, size 48, leak 186528.
block 32, total 21568, active 21556, size 340, leak 7329040.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 4000, active 2341, size 48, leak 112368.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10975, size 12, leak 131700.
block 200, total 3200, active 1657, size 48, leak 79536.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 32, total 21472, active 21465, size 340, leak 7298100.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1535, size 48, leak 73680.
block 32, total 21504, active 21474, size 340, leak 7301160.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1572, size 48, leak 75456.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 5400, active 3840, size 48, leak 184320.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 5400, active 3734, size 48, leak 179232.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1595, size 48, leak 76560.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1553, size 48, leak 74544.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 6000, active 4126, size 48, leak 198048.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 5400, active 3771, size 48, leak 181008.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1562, size 48, leak 74976.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1594, size 48, leak 76512.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 4800, active 3158, size 48, leak 151584.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 5400, active 3698, size 48, leak 177504.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1655, size 48, leak 79440.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1632, size 48, leak 78336.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1625, size 48, leak 78000.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 5400, active 3762, size 48, leak 180576.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3000, active 2144, size 48, leak 102912.
block 32, total 21472, active 21465, size 340, leak 7298100.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 5400, active 3717, size 48, leak 178416.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 5400, active 3804, size 48, leak 182592.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1594, size 48, leak 76512.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1681, size 48, leak 80688.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1520, size 48, leak 72960.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3600, active 1772, size 48, leak 85056.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1577, size 48, leak 75696.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 10972, size 12, leak 131664.
block 200, total 3200, active 1526, size 48, leak 73248.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 1000, total 26000, active 11016, size 12, leak 132192.
block 200, total 3200, active 1959, size 48, leak 94032.
block 32, total 21504, active 21490, size 340, leak 7306600.
block 32, total 21472, active 21465, size 340, leak 7298100.
block 32, total 21472, active 21465, size 340, leak 7298100.
block 1000, total 27000, active 11127, size 12, leak 133524.
block 32, total 21472, active 21465, size 340, leak 7298100.
block 1000, total 27000, active 11200, size 12, leak 134400.
block 200, total 3200, active 1593, size 48, leak 76464.
block 32, total 21504, active 21487, size 340, leak 7305580.
block 1000, total 27000, active 11386, size 12, leak 136632.
block 200, total 7200, active 3743, size 48, leak 179664.
block 32, total 21536, active 21531, size 340, leak 7320540.
block 1000, total 27000, active 11604, size 12, leak 139248.
block 200, total 7000, active 2196, size 48, leak 105408.
block 32, total 21568, active 21552, size 340, leak 7327680.
block 1000, total 32000, active 16730, size 12, leak 200760.
block 200, total 8400, active 3647, size 48, leak 175056.
block 32, total 21568, active 21547, size 340, leak 7325980.
block 1000, total 27000, active 11449, size 12, leak 137388.
block 200, total 5800, active 3034, size 48, leak 145632.
block 32, total 21504, active 21491, size 340, leak 7306940.
block 1000, total 27000, active 11439, size 12, leak 137268.
block 200, total 6400, active 2807, size 48, leak 134736.
block 32, total 21504, active 21488, size 340, leak 7305920.
block 1000, total 28000, active 12513, size 12, leak 150156.
block 200, total 7000, active 3180, size 48, leak 152640.
block 32, total 21504, active 21492, size 340, leak 7307280.
block 1000, total 27000, active 11323, size 12, leak 135876.
block 200, total 7800, active 3871, size 48, leak 185808.
block 32, total 21504, active 21491, size 340, leak 7306940.
block 1000, total 27000, active 11607, size 12, leak 139284.
block 200, total 5600, active 3237, size 48, leak 155376.
block 32, total 21504, active 21493, size 340, leak 7307620.
block 1000, total 36000, active 20160, size 12, leak 241920.
block 200, total 7600, active 3592, size 48, leak 172416.
block 32, total 21568, active 21542, size 340, leak 7324280.
block 1000, total 27000, active 11673, size 12, leak 140076.
block 200, total 11600, active 3821, size 48, leak 183408.
block 32, total 21632, active 21609, size 340, leak 7347060.
block 1000, total 27000, active 11093, size 12, leak 133116.
block 200, total 5400, active 3872, size 48, leak 185856.
block 32, total 21504, active 21474, size 340, leak 7301160.
block 1000, total 27000, active 11608, size 12, leak 139296.
block 200, total 6400, active 3999, size 48, leak 191952.
block 32, total 21504, active 21480, size 340, leak 7303200.
block 1000, total 27000, active 11137, size 12, leak 133644.
block 200, total 3200, active 1406, size 48, leak 67488.
block 32, total 21504, active 21474, size 340, leak 7301160.
block 1000, total 27000, active 11184, size 12, leak 134208.
block 200, total 9600, active 3649, size 48, leak 175152.
block 32, total 21504, active 21496, size 340, leak 7308640.
block 1000, total 28000, active 12416, size 12, leak 148992.
block 32, total 21504, active 21482, size 340, leak 7303880.
